"recipe_title","url","record_health","vote_count","rating","description","cuisine","course","diet","prep_time","cook_time","ingredients","instructions","author","tags","category"
"Mysore Style Avarekalu Rasam Recipe","https://www.archanaskitchen.com/mysore-style-avarekalu-rasam-recipe","good","4187","4.9228564604729","is a delicious rasam made from the Avarekalu which is a part of broad bean category. The beans are famous in Karnataka which they use to make various dishes. Avarekalu are hyacinth beans which are rich in calcium and iron. The beans are steamed and then ground along with Mysore Style Rasam powder.Since Avarekalu season starts from December to January, in many parts of Karnataka, people love to prepare a homemade dishes using this. Serve the along with , , and to finish it off with. If you are looking for more Rasam recipes here are some :","Karnataka","Lunch","Vegetarian","10 M","30 M","Avarekalu / Lilva Beans|Tomatoes|Fresh coconut|Jaggery|Turmeric powder (Haldi)|Salt|Coriander (Dhania) Seeds|Dry Red Chillies|Byadagi Dried Chillies|Cumin seeds (Jeera)|Whole Black Peppercorns|Mustard seeds (Rai/ Kadugu)|Methi Seeds (Fenugreek Seeds)|Mustard seeds (Rai/ Kadugu)|Curry leaves","To begin making the Mysore Style Avarekalu Rasam Recipe, we will pressure cook the Avarekalu with 1 cup water and a pinch of salt for about 1 whistle. Turn off the flame and allow to release the pressure naturally and then open the lid. Next to make the rasam masala, in a small skillet, heat some ghee on low flame and roast the spices -coriander seeds, dry red chillies, byadgi dried Chillies, cumin seeds, whole black peppercorns, mustard seeds, fenugreek seeds Roast them until you get a nice aroma for about 10 minutes. Once done, cool the mixture and blitz it to a smooth powder using a mixer grinder. Add fresh coconut, boiled avarekalu and give it a blitz. Grind it into a coarse paste. Heat a saucepan with tamarind water, tomato, green chilli and turmeric powder allow it to boil for 10 minutes. Add this ground paste into the Avarekalu Rasam that is being boiled, add salt, jaggery and adjust according to your palate. To temper, heat a small amount of oil, add mustard seeds and allow it to crackle and then add curry leaves, hing and leave it for 10 seconds and pour it over the boiling rasam and serve hot. Serve the Mysore Style Avarekalu Rasam Recipe along with , , and to finish it off with.","Archana's Kitchen","Vegetarian Recipes|Side Dish Recipes|South Indian Recipes|Indian Lunch Recipes|Avarakkai Recipes (Broad Bean)","Rasam Recipes"
"Roasted Peppers & Cheese Crostini Recipe","https://www.archanaskitchen.com/crostini-with-peppers-cheese-recipe","good","626","4.9073482428115","Roasted Peppers & Cheese Crostini Recipe is a crowd pleaser for all age groups. Crispy slice of buttered bread topped with stringy soft cheese and earthy roasted bell peppers finished of with some seasoning. This Roasted Peppers & Cheese Crostini also includes a bit if a bite from the sweet corn kernels and heat from the pickled jalapenos, all of it balanced out with the cheese topping. It can be served to kids as an after school snack, or carried to for a picnic meal and even be served as a party starter. Serve Roasted Peppers & Cheese Crostini Recipe along with and as the first course of the meal. See for more World appetizers recipes","Italian Recipes","Appetizer","Vegetarian","10 M","25 M","French Loaf|Butter (Salted)|Extra Virgin Olive Oil|Red Yellow and Green Bell Peppers (Capsicum)|Sweet corn|Pickled Jalapenos|Basil leaves|Salt|Mozzarella cheese|Mixed Herbs (Dried)|Red Chilli flakes|Garlic bread spice mix","To begin making the Roasted Peppers & Cheese Crostini Recipe, prep all ingredients and keep it ready. If you have fresh sweet corn, cook it in the pressure cooker along with salt and water for 3 to 4 whistles. If you are using frozen corn, you simply have to thaw and use it as required. Heat olive oil in a pan on medium heat, add the sliced bell peppers, sprinkle some salt and roast for a few minutes until they are cooked yet have a bite in them. Turn off the heat and toss in the freshly chopped garlic, sweet corn, jalapenos, and basil leaves and give it a good stir. The fresh garlic added post cooking gives a fresh taste to the crostini. Preheat the oven at 200 degree celsius Slice the French loaf into slices of 1/2 inch thickness. Spread butter and pizza sauce, top it with the roasted peppers, corn kernels and jalapenos. Sprinkle a generous layer of cheese, finally finish off with a sprinkle of mixed herbs and chilli flakes Flash bake in the oven for 3-4 minutes, until the cheese melts and the bread has come slightly crispy. Serve hot Roasted Peppers & Cheese Crostini Recipe along with and as the first course of the meal.","Archana's Kitchen","Party Food Recipes|Capsicum Recipes (Bell Pepper)|Italian Recipes|Cheese Recipes|After School Snack Recipes","Continental Party Appetizer & Starter Recipes"
"Goan Kaju Curry Recipe (Spicy Goan Cashew Nut Curry)","https://www.archanaskitchen.com/goan-kaju-curry-recipe-goan-style-cashew-gravy","good","4374","4.847508001829","Goan Kaju Curry is yet another delicious dish from the western coast of India or the Konkan region. Goan Kaju Curry is normally made using the best quality goan cashew nuts and served as a vegetarian delicacy in goan weddings and parties. The Goan Kaju curry is made by following the traditional style of goan cooking which consists of roasting grated coconut along with onion, garlic and spices and addition of tamarind. Tamarind is used as a souring agent in most of the Goan dishes. Serve this Goan Kaju Curry for parties along with , and a Salad for a weeknight dinner or a special Sunday lunch. Try More such goan delicacies like , . Cashew nuts are good for health as it is packed with energy, vitamins, minerals and antioxidants. They are rich in calories and protect the heart by lowering the bad cholesterol in the body.","Goan Recipes","Lunch","Vegetarian","10 M","45 M","Cashew nuts|Tomato|Green Bell Pepper (Capsicum)|Turmeric powder (Haldi)|Oil|Coriander (Dhania) Leaves|Salt|Fresh coconut|Onion|Garlic|Coriander (Dhania) Seeds|Byadagi Dried Chillies|Whole Black Peppercorns|Cumin seeds (Jeera)|Cloves (Laung)|Tamarind","To Begin making the Goan Kaju Curry recipe, soak the cashew nuts into hot water for minimum 30 minutes. Meanwhile proceed for making the curry/gravy. Dry roast the coriander seeds, cumin seeds, peppercorns, cloves and dry red chilies until you get a roasted aroma. Add the coconut and roast it along with the spices until you can smell the aromas of the coconut. Add the tamarind ball and saute for a few seconds and turn off the heat. For making the gravy, place a kadai on medium heat and add a teaspoon of oil. Add the finely chopped onion and garlic and saute until the onion is translucent. Once cooled, grind the above mentioned grated coconut and spice mixture along with the onions to make a smooth paste, by adding a little water. In the same pan where you sauteed the onions, heat a teaspoon of oil on medium heat. Add the chopped tomatoes, turmeric powder and saute them until it softens. Add the capsicum and saute for a couple of minutes until it softens and cooks through. Add the masala curry paste to the above tomato capsicum mixture and the soaked cashew nuts and stir fry for 3-4 minutes. Add a little water to adjust the consistency of the Kaju Curry. Stir and simmer the Goan Kaju Curry for about 10 Minutes. Once done, check the salt and spice levels and adjust to suit your taste. Finally stir in the chopped coriander leaves and serve. Serve this Goan Kaju Curry for parties along with , and a Salad for a weeknight dinner or a special Sunday lunch","Raksha Kamat","Indian Vegetarian Recipes|Cashewnut Recipes","Indian Curry Recipes"
"Chettinad Style Kara Kuzhambu Recipe with Potato and Brinjal","https://www.archanaskitchen.com/chettinadu-style-potato-kaarakozhambu-recipe","good","2750","4.8890909090909","Chettinad Style Kara Kuzhambu Recipe with Potato and Brinjal is a finger licking good recipe made the Chettinad way. The pearl onions in the kuzhambu along with the freshly ground spice masala and samabr powder give it the rich taste. Adding potatoes and brinjal, add nutrition and completely elevate the kara kuzhambu. Serve Chettinad Style Kara Kuzhambu Recipe with Potato and Brinjal along with , and for a weekday meal. If you like this recipe, you can also try other South Indian Potato recipes such as","South Indian Recipes","Lunch","Vegetarian","15 M","60 M","Methi Seeds (Fenugreek Seeds)|Coriander (Dhania) Seeds|Fennel seeds (Saunf)|Dry Red Chillies|Fresh coconut|Pearl onions (Sambar Onions)|Garlic|Tomatoes|Potatoes (Aloo)|Brinjal (Baingan / Eggplant)|Jaggery|Gingelly oil|Mustard seeds (Rai/ Kadugu)|Curry leaves","To begin making the Chettinad Style Kara Kuzhambu Recipe, we will first make the masala. Heat a small pan on medium heat; add fenugreek seeds, coriander seeds, fennel seeds, red chillies. Roast these spices until the aroma wafts in the air. Stir in the freshly grated coconut and roast for another 2 to 3 minutes. Turn off the heat and allow the spices to cool. Transfer the spices into a mixer jar, add 1/2 cup warm water and grind to make a smooth paste. To cook the kara kuzhambu, heat oil in a pressure cooker over medium heat; add the onion, garlic and saute for a few minutes until the onion softens. Add the chopped tomatoes and saute until the tomatoes are mushy. Stir in the potatoes, brinjal, jaggery, tamarind water, sambar powder and salt. Pressure cook for 3 to whistles and turn off the heat and allow the pressure to release naturally. In the meantime, make the seasoning; heat oil in a tadka pan; add the mustard seeds and curry leaves and allow it to crackle. Turn off the heat and keep aside. Once the pressure releases, stir in the coconut mixture, the seasoning mixture and give the Chetinnad Kara Kuzhambu a brisk boil for 3 to 4 minutes. Check the salt and adjust according to taste. Serve hot Chettinadu Style Potato Kaarakozhambu along with , and for a weekday meal.","Archana's Kitchen","South Indian Recipes|Aloo Recipes (Potato & Baby Potato Recipes)|Festival Recipes|Brinjal Recipes (Eggplant / Baingan)|Chettinad Recipes","Indian Curry Recipes"
"Karnataka Style Huggi (Rice and Moong dal Savory Porridge)","https://www.archanaskitchen.com/karnataka-style-huggi-rice-and-moong-dal-savory-porridge","good","3042","4.9191321499014","Karnataka Style Huggi (Rice and Moong dal Savory Porridge) Recipe is a traditional khichdi prepared in Karnataka. During the famous festival Sri Krishna Matt that is celebrated in parts of Udupi. It is nothing but similar to “kara Pongal” that is prepared in Tamil Nadu. Huggi is usually accompanied along with tamarind gojju. Where the tanginess of the gravy goes along with the subtle but rich flavor of the lentil and rice. Serve the Karnataka Style Huggi Recipe along with Karnataka Style along with to make it a complete meal. If you are looking for more Rice recipes here are some:","Karnataka","Lunch","Vegetarian","0 M","30 M","Rice|Yellow Moong Dal (Split)|Turmeric powder (Haldi)|Cardamom (Elaichi) Pods/Seeds|Cinnamon Stick (Dalchini)|Cardamom (Elaichi) Pods/Seeds|Cinnamon Stick (Dalchini)","We begin making the Karnataka Style Huggi Recipe by pressure cooking the rice and moong dal with 3 cups of water and salt for about 3 whistle. Then open the cooker once the pressure is released, add in turmeric powder, spices like cardamom, clove and cinnamon. Keep cooking till the rice and moong dal are fully cooked. Check for seasoning and switch off the flame. Heat a small kadai, melt the ghee and add the spice to crackle and pour it over the rice and serve. Serve the Karnataka Style Huggi Recipe along with Karnataka Style along with to make it a complete meal.","Archana's Kitchen","Vegetarian Recipes|South Indian Recipes|Indian Lunch Recipes|Moong Dal Recipes|Karnataka Recipes|Weekend Lunch Recipes","Variety Rice (Mixed Rice/ Flavoured Rice Recipes)"
"Udupi Style Ash Gourd Coconut Curry Recipe","https://www.archanaskitchen.com/udupi-style-ash-gourd-coconut-curry-recipe","good","9188","4.8896386591206","Udupi Style Ash Gourd Coconut Curry Recipe is a quick coconut based curry made from Ash gourd. Coconut being the main ingredient used in most of their cooking in Udupi, the curry has a strong flavor of coconut as well the roasted spices which gives out a wonderful flavor and aroma. Ash gourd in other words called as winter melon, it has a good amount of minerals and Vitamins. A good amount of ash gourd in your diet will help in curing thyroid disorders, will also help in reducing cough and cold. Serve the Udupi Style Ash Gourd Coconut Curry Recipe along with , and for lunch. If you are looking for more Indian Curries here are some :","Udupi","Lunch","Vegetarian","10 M","30 M","Vellai Poosanikai (Ash gourd/White Pumpkin)|Turmeric powder (Haldi)|Salt|Oil|Dry Red Chillies|Fresh coconut|Methi Seeds (Fenugreek Seeds)|Cumin seeds (Jeera)|Coriander (Dhania) Seeds|Sesame seeds (Til seeds)|Jaggery|Oil|Mustard seeds (Rai/ Kadugu)|Curry leaves|Dry Red Chillies","To begin making the Udupi Style Ash Gourd Coconut Curry Recipe cook the ash gourd in the pressure cooker with little water, turmeric powder and salt for just 1 whistle. Release the pressure naturally. Soak the tamarind ball in hot water for about 15 minutes, and squeeze and keep the water. Then dry roast the spices and other ingredients for the ground paste in a pan except the coconut. Then grind it along with coconut to a smooth paste. In same pressure cooker which has the ash gourd add the paste and little water and give it stir. Keep the Udupi Ash Gourd Coconut Curry on the medium heat, Adjust the seasoning and texture if required. Once done transfer it in a bowl. For the seasoning, heat oil in a small skillet and add mustard seeds and let it crackle. After the mustard seeds have crackled add the curry leaves and red chillies. Tun off the heat after the red chillies have darkened and add it on top of the Udupi Style Ash Gourd Coconut Curry and serve. Serve the Udupi Style Ash Gourd Coconut Curry Recipe along with , and for lunch.","Archana's Kitchen","South Indian Recipes|Indian Lunch Recipes|Indian Vegetarian Recipes|Weekend Lunch Recipes|Ash Gourd Recipes","Indian Curry Recipes"
"Methi Bajra Poori Recipe","https://www.archanaskitchen.com/methi-bajra-poori-recipe","good","1621","4.8278840222085","Methi Bajra Poori as the name suggests, is deep fried, puffed bread made using fresh Methi (fenugreek) leaves and Bajra (millet) flour. The fresh Methi leaves add an amazing flavour and a characteristic bitter taste to the pooris. Bajra adds an earthy taste and makes the puris slightly crunchy. Use fresh Bajra flour for best results. The next time you need a ‘deep fried drip’, make these flavourful Methi Bajra Pooris. Serve Methi Bajra Poori on its own as a snack or it can be teamed up with or any other curry for an indulgent meal. If you like this recipe, you can also try other similar recipes such as","Indian","Lunch","Vegetarian","10 M","60 M","Bajra Flour ( Pearl Millet)|Whole Wheat Flour|Methi Leaves (Fenugreek Leaves)|Garlic|Red Chilli powder|Sesame seeds (Til seeds)|Fennel seeds (Saunf)|Coriander Powder (Dhania)|Cumin powder (Jeera)|Amchur (Dry Mango Powder)|Oil|Turmeric powder (Haldi)|Salt|Oil","To begin making the Methi Bajra Poori, firstly mix all the ingredients except the oil for deep frying, in a mixing bowl or in the bowl of a food processor. Gradually add water and knead it into a firm yet pliable dough. Cover the dough and let it rest for 30 minutes. Make small balls from the dough. Roll them out into small round discs. Keep them covered till they are ready to be fried. Heat oil in a . Gently slide in the rolled poori or 2-3 pooris (depending on the size of your wok). Deep fry on medium high heat until they puff and turn golden brown on both sides. Take out the pooris using a slotted spoon and place on absorbent paper. Serve hot. Serve Methi Bajra Poori on its own as a snack or it can be teamed up with or any other curry for an indulgent meal.","Madhuli Ajay","Indian Lunch Recipes|Methi Recipes (Fenugreek)|Millet Recipes|Bajra Recipes","Puri Recipes"
"Moongphali Bhindi Sabzi Recipe - Lady's Finger Peanut Stir Fry","https://www.archanaskitchen.com/moongphali-bhindi-recipe-okra-and-peanut-stir-fry","good","1744","4.8577981651376","is a quick and easy recipe with the crunch of peanuts and spices. The addition of peanuts, coriander powder, dry mango powder and chillies along with the bhindi works like a charm and creates one delicious dish out of the simple ingredients. Serve along with or and serve it along with hot steamed rice or even millet phulka. : Okra also known as Bhindi/ Vendakkai/ Lady's Finger is a low-calorie vegetable and contains no saturated fat or cholesterol. They are rich sources of dietary fiber, minerals, and vitamins; often recommended by nutritionists in cholesterol controlling and weight reduction programs. If you like this recipe, you can also try other Vegetable recipes such as","North Indian Recipes","Lunch","Vegetarian","10 M","20 M","Bhindi (Lady Finger/Okra)|Oil|Ajwain (Carom seeds)|Curry leaves|Roasted Peanuts (Moongphali)|Coriander Powder (Dhania)|Turmeric powder (Haldi)|Red Chilli powder|Amchur (Dry Mango Powder)|Salt","To make Moongphali Bhindi Sabzi Recipe, first wash and pat dry bhindi and cut the bhindi into rounds Heat oil in a over medium heat. add the ajwain and curry leaves and saute for a few seconds. Stir in the chopped bhindi and sprinkle a little salt. Cover the pan with the lid slightly ajar and cook the bhindi until it is soft and almost cooked. Keep stirring in between to ensure the bhindi gets cooked evenly. Keeping the lid ajar will prevent excess moisture to get trapped and also prevent the bhindi from getting soggy. Once the bhindi is cooked, add the turmeric powder, red chilli powder, coriander powder, amchur powder and roasted crushed peanuts. Give it a stir and allow the Moongphali Bhindi Sabzi to simmer for another 3 to 4 minutes and turn off the heat. Check the salt and spices and adjust to suit your taste. Transfer the Moongphali Bhindi Sabzi to a serving bowl and serve hot. Serve Moongphali Bhindi Sabzi along with or and serve it along with hot steamed rice or even millet phulka.","Archana Doshi","Indian Lunch Recipes|Office Lunch Box Recipes|Indian Dinner Recipes|Moong Dal Recipes|Bachelor Recipes|Peanut Recipes|Bhindi Recipes (Vendakkai /Okra /Ladies Finger)","Sabzi Recipes"
"Nargisi Kofta Curry Recipe - Spicy Scotched Egg Curry","https://www.archanaskitchen.com/nargisi-kofta-curry-recipe-spicy-scotched-egg-curry","good","5980","4.9096989966555","Mughlai cuisine consisted a list of dishes developed in Medieval India at the time of Mughal empire. Mughlai cooking dishes are array of recipes from Central Asia and North India. Mughlai food is known for its richness, exotic taste and spiciness. is an another rich exotic mughlai recipe, a combination dish of mutton keema and boiled eggs. Marinated mutton keema wrapped on hard boil eggs and braised into spicy rich yogurt gravy is called Nargisi Kofta curry. It can be served with pulao, biryani or roti/parathas. It is good for parties or weekend dinner or lunch. Serve along with , and for a weeknight dinner. If you like this recipe, you can also try other such as","Mughlai","Lunch","Eggetarian","30 M","45 M","Whole Egg|Mutton|Ginger|Garlic|Coriander Powder (Dhania)|Turmeric powder (Haldi)|Kashmiri Red Chilli Powder|Corn flour|Mustard oil|Salt|Onion|Turmeric powder (Haldi)|Green Chilli Paste|Red Chilli powder|Garlic|Ginger|Coriander Powder (Dhania)|Cumin powder (Jeera)|Kasuri Methi (Dried Fenugreek Leaves)|Bay leaf (tej patta)|Dry Red Chilli|Salt|Oil","To begin making the Nargisi Kofta Curry recipe, hard boil the eggs in a saucepan with some water. Peel the outer shelf and keep it aside. In a food processor blend mutton keema very well to make it soft and tender. Transfer it in a bowl, add turmeric powder, red chilli powder, coriander powder, salt, ginger garlic paste, oil, garam masala powder and corn flour. Mix it very nicely using hands. Divide the mixture into four parts. Put some oil in your palm and take one portion of keema mixture and pat it to form like a chapati. Place a hard boiled egg in between the flatten keema mixture and cover the egg with it. Do the same to all eggs. Keep aside. The next step is to prepare the gravy. Heat oil in a big pan or kadai. Add dry red chilli and bay leaf. Roast the chilies for a minute then add chopped onions. Fry the onions until light brown. Add ginger garlic paste, green chilli paste and fry a little bit. Add tomato puree, coriander, cumin, red chilli and turmeric powder. Fry until the oil separates. Whisk yogurt with salt and add in the masala mixture. Mix well and add one cup of warm water. Let it boil. After it starts bubbling slowly add keema wrapped egg on the gravy. Let it cook for 30 to 35 minutes. After 30-35 minutes check the seasoning add garam masala powder and sprinkle some kasuri methi. Serve hot. Serve Nargisi Kofta Curry along with , and for a weeknight dinner.","Usashi Mandal","Party Food Recipes|Indian Lunch Recipes|Dahi Recipes (Curd/Yogurt)|Indian Dinner Recipes","Egg Recipes"
"Asian Style Tofu in Spicy Orange Sauce Recipe","https://www.archanaskitchen.com/asian-style-tofu-in-spicy-orange-sauce-recipe","good","341","4.9325513196481","Asian Style Tofu in Spicy Orange Sauce Recipe is prepared with tofu, as the name suggests. Tofu is one of the primary sources of Vegan protein and an excellent addition to your weekly protein quota. It also shines in Asian-style preparations since it is inherited to their cuisine. This Asian Style Tofu in Spicy Orange Sauce balances the sweet, sour and spicy flavors very well and makes for a great starter as well as an accompaniment to the main course dinner. Serve Asian Style Tofu In Spicy Orange Sauce along with for your weeknight dinner. Explore other recipes that can be cooked with Tofu-","Asian","Dinner","High Protein Vegetarian","10 M","30 M","Tofu|Orange Zest (Rind)|Corn flour|Whole Black Peppercorns|Rice Vinegar|Brown Sugar (Demerara Sugar)|Fresh orange juice|Ginger|Sesame (Gingelly) Oil|Sesame seeds (Til seeds)|Salt","To prepare Asian Style Tofu in Spicy Orange Sauce Recipe, toss tofu, cornstarch, orange zest, salt and ground pepper and all spice powder together in a and set aside. Whisk together vinegar, brown sugar, orange juice and sriracha sauce in another bowl and keep aside. In a over medium heat, cook tofu in sesame oil until the tofu begins to turn golden. Add ginger, garlic and continue to sauté for 2-3 minutes. Pour in the vinegar, orange juice mixture and cook until the liquid has reduced and starts to look a bit sticky. Adjust spices if required Add sesame seeds and sauté further for a minute. Turn off heat and serve Asian Style Tofu in Spicy Orange Sauce Recipe warm as a starter or as a side dish during a weekday meal. Serve Asian Style Tofu In Spicy Orange Sauce along with for your weeknight dinner.","Monika Manchanda","Vegetarian Recipes|Side Dish Recipes|Healthy Recipes|Tea Party Recipes|Tofu Recipes|Orange Recipes","Indian Chinese Recipes"
"Homemade Kashmiri Garam Masala Recipe","https://www.archanaskitchen.com/how-to-make-homemade-kashmiri-masala-spice-mix-recipe","good","12959","4.9395015047457","Kashmiri Spice Mix or Kashmiri Masala is a special spice powder used in many recipes that originate from Kashmiri Cuisine. This is a variation to garam masala recipe. This recipe yields close to a cup of spice mix. Make this spice powder and store in advance to cook Kashmiri recipes and to add Kashmiri twist to the regular home cooked recipes. Store away in an airtight container. Here are more spice powder recipes to make","Kashmiri","","Vegetarian","5 M","5 M","Cumin seeds (Jeera)|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung)|Cinnamon Stick (Dalchini)|Coriander (Dhania) Seeds|Whole Black Peppercorns|Fennel seeds (Saunf)|Bay leaves (tej patta)|Mace (Javitri)|Nutmeg powder","To make Homemade Kashmiri Garam Masala Masala Powder, prep with all the ingredients and keep them ready. Preheat a on medium heat and roast all the ingredients together (except the nutmeg powder) on low to medium heat until you can smell the aromas coming through. Make sure you keep stirring continuously with preferably a wooden spoon while dry roasting. Once the spices have cooled down, dry grind them along with nutmeg powder to make a fine Kashmiri Garam Masala powder. Store Homemade Kashmiri Garam Masala powder in an airtight container and use as required. You can also freeze the masala for longer shelf life.","Archana's Kitchen","Kashmiri Recipes","Indian Homemade Masala Powder & Chutney Powder Recipes"
"Hesarukalu Bele Kosambari Recipe Tangy Sprouted Green Moong Dal Salad","https://www.archanaskitchen.com/hesarukalu-bele-kosumbari-recipe-sprouted-green-moong-salad","good","1015","4.7477832512315","is a high protein, diabetic friendly salad variety from Karnataka. It is usually made during special occasions like weddings and festivals. Usually soaked dals(moong or chana dal) are used in making this salad. However, has sprouted green moong in it. Refreshing ingredients like carrot, cucumber and coconut give the right balance and texture to this salad. Apart from the ease of cooking it, is high fibre, easy to digest and easy on the system. Green moong has a low carb count compared to most other pulses, and hence is also a diabetic diet which is moderately good in protein. Serve with and for your south indian lunch/ weeknight dinner. You can also have it as a midday snack. You can try more such salad recipes like","South Indian Recipes","Side Dish","Diabetic Friendly","10 M","5 M","Green Moong Dal (Whole)|Carrot (Gajjar)|Fresh coconut|Cucumber|Tomato|Green Chillies|Lemon|Coriander (Dhania) Leaves|Salt|Mustard seeds (Rai/ Kadugu)|White Urad Dal (Split)|Curry leaves|Coconut Oil","To begin making Hesarukalu Bele Kosambari Recipe, prep all the ingredients and keep ready. You can either get store bought sprouts or make the sprouts at home from this link - . Now that you have the sprouts ready with you, in a mixing bowl, combine the sprouted green gram, grated carrots, grated coconut, finely chopped cucumbers, tomatoes, lemon, salt, coriander leaves and green chilies. Adjust the amount of green chilies as per your palate. Mix all the ingredients well. Heat oil in a small pan; add mustard seeds and urad dal and allow the seeds to crackle and dal to turn golden brown and crisp. Once done, turn off the heat and stir in the curry leaves. Add the Curry leaves to the above Hesarukalu Bele Kosambari (moong sprout salad) and stir well to combine. Check the taste and adjust salt accordingly. Transfer the Hesarukalu Bele Kosambari to a serving bowl and serve immediately or chilled. Serve Hesarukalu Bele Kosambari Recipe with and for a complete south indian meal. You can also have it as a midday snack.","Archana Doshi","High Protein Vegetarian Diet Recipes|South Indian Recipes|Indian Lunch Recipes|Festival Recipes|Indian Diabetic Recipes|Sprout Recipes|Moong Dal Recipes","Indian Salad Recipes"
"Bendakaya Pulusu Recipe - Andhra Style Tangy Ladies Finger Curry","https://www.archanaskitchen.com/bendakaya-pulusu-andhra-style-okra-in-tamarind-gravy","good","3324","4.9464500601685","is an Andhra Style tangy and spicy tamarind based gravy prepared with ladies finger/okra/bhindi . The tanginess from the tamarind, the spice from the sambar powder and sweetness from the jaggery makes for a perfect balance of flavours. Pulusu is similar to Tamil Nadu Kuzhambu which is also prepared with a tamarind and jaggery gravy. Serve along with , , and Curd for a complete Andhra Style meal. If you like this recipe of , here are a few more Andhra Style gravies","Andhra","Lunch","Vegetarian","10 M","20 M","Bhindi (Lady Finger/Okra)|Pearl onions (Sambar Onions)|Tomatoes|Tamarind|Curry leaves|Mustard seeds (Rai/ Kadugu)|Cumin seeds (Jeera)|Methi Seeds (Fenugreek Seeds)|Turmeric powder (Haldi)|Red Chilli powder|Jaggery|Gingelly oil|Salt","To begin making Andhra Style Bendakaya Pulusu, prep all the ingredients and keep ready/ soak tamarind in hot water for 20 minutes and extract the pulp and keep aside. You can add water two times to extract the water from the pulp. To cook the Bendakaya Pulusu, preheat oil in a pressure cooker over medium heat; add mustard seeds, cumin seeds, fenugreek seeds and allow then to crackle. Add in quartered onion and curry leaves and saute until the onions turn soft and translucent. Next add the tomatoes, give it a stir for a minute. Stir in the cut Ladies Finger/Okra/Bendakaya along with the tamarind water, turmeric powder, jaggery, sambar powder and salt. Add 1/4 cup water and pressure cook the Bendakaya Pulusu for 2 whistles and turn off the heat. Allow the pressure to release naturally and open the cooker. Give the Bendakaya Pulusu a taste and adjust the salt and seasoning accordingly. Transfer the Bendakaya Pulusu to a serving bowl and serve hot. Serve Andhra Style Bendakaya Pulusu along with Steamed Rice, , and Curd for a complete Andhra Style meal.","Archana Doshi","Vegetarian Recipes|Indian Lunch Recipes|Indian Vegetarian Recipes|Tamarind Curry Recipes|Bhindi Recipes (Vendakkai /Okra /Ladies Finger)|Telugu Cuisine Recipes (Andhra & Telangana)|Weekend Lunch Recipes|Pulusu Recipes","Kuzhambu Recipes"
"Peerkangai Thogayal Recipe Ridge Gourd Peel Chutney Beerakaya Pachadi","https://www.archanaskitchen.com/peerkangai-thogayal-recipe-ridge-gourd-peel-chutney","good","1245","4.8706827309237","Peerkangai Thogayal Recipe also known as Beerakaya Pachadi is a delicacy in almost every South Indian home. The thogayal recipe is made with roasted ingredients like urad dal, red chilies, and curry leaves when ground along with tamarind into a paste along with the peels of ridge gourd it gives a fresh aroma which makes it simply delicious. Serve Peerkangai Thogayal with steamed rice, or have it with idli-dosa. Other Thogayal recipes that you can try are:","South Indian Recipes","Side Dish","Vegetarian","15 M","10 M","Ridge Gourd Skin (Turai/ Peerkangai)|White Urad Dal (Split)|Methi Seeds (Fenugreek Seeds)|Dry Red Chillies|Curry leaves|Tamarind|Salt|Gingelly oil|Mustard seeds (Rai/ Kadugu)|White Urad Dal (Split)|Dry Red Chillies|Curry leaves","To begin making the Peerkangai Thogayal Recipe/ Beerakaya Pachadi, prep all the ingredients and keep ready. Heat a teaspoon oil in a heavy bottomed pan; add the cut peels of the Ridge Gourd, along with a little salt and saute until soft and tender. Turn off heat and allow it to cool. The peels will not get completely soft, so its ok as long as they have cooked through. In another small pan; roast the fenugreek seeds, dry red chillies and urad dal until it releases a roasted aroma and slightly browned. Now grind the roasted ingredients, the cooked ridge gourd peels, the tamarind and curry leaves together until it forms a smooth paste. Check the salt in the Peerkangai Thogayal Recipe and adjust to suit your taste. Heat a little oil in a pan; add mustard seeds, urad dal, dry red chillies and curry leaves. Allow it to crackle and the red chillies to roast and the dal to get golden brown. Once done turn off the heat and add it to the Peerkangai Thogayal / Beerakaya Pachadi. Transfer the Peerkangai Thogayal / Beerakaya Pachadi to a serving bowl and serve immediately or refrigerate for 3 to 4 days and serve as needed. Serve the Peerkangai Thogayal / Beerakaya Pachadi along with a hot bowl of and .","Archana Doshi","Indian Lunch Recipes|Healthy Recipes|Ridge Gourd Recipes (Turai/ Peerkangai)","Indian Chutney Recipes"
